date,state,state_code,crime,count,Clearances
2018/12,Missouri,MO,Aggravated Assault Reported by Population,1738.0,816.0
2019/01,Missouri,MO,Aggravated Assault Reported by Population,1721.0,801.0
2019/02,Missouri,MO,Aggravated Assault Reported by Population,1386.0,679.0
2019/03,Missouri,MO,Aggravated Assault Reported by Population,1700.0,801.0
2019/04,Missouri,MO,Aggravated Assault Reported by Population,1871.0,885.0
2019/05,Missouri,MO,Aggravated Assault Reported by Population,2112.0,900.0
2019/06,Missouri,MO,Aggravated Assault Reported by Population,2092.0,916.0
2019/07,Missouri,MO,Aggravated Assault Reported by Population,2259.0,949.0
2019/08,Missouri,MO,Aggravated Assault Reported by Population,2068.0,920.0
2019/09,Missouri,MO,Aggravated Assault Reported by Population,2029.0,887.0
2019/10,Missouri,MO,Aggravated Assault Reported by Population,1758.0,771.0
2019/11,Missouri,MO,Aggravated Assault Reported by Population,1578.0,755.0
2019/12,Missouri,MO,Aggravated Assault Reported by Population,1515.0,752.0
2020/01,Missouri,MO,Aggravated Assault Reported by Population,1651.0,772.0
2020/02,Missouri,MO,Aggravated Assault Reported by Population,1434.0,721.0
2020/03,Missouri,MO,Aggravated Assault Reported by Population,1868.0,852.0
2020/04,Missouri,MO,Aggravated Assault Reported by Population,1810.0,770.0
2020/05,Missouri,MO,Aggravated Assault Reported by Population,2521.0,912.0
2020/06,Missouri,MO,Aggravated Assault Reported by Population,2847.0,901.0
2020/07,Missouri,MO,Aggravated Assault Reported by Population,2782.0,1025.0
2020/08,Missouri,MO,Aggravated Assault Reported by Population,2243.0,918.0
2020/09,Missouri,MO,Aggravated Assault Reported by Population,2193.0,785.0
2020/10,Missouri,MO,Aggravated Assault Reported by Population,2021.0,857.0
2020/11,Missouri,MO,Aggravated Assault Reported by Population,2002.0,745.0
2020/12,Missouri,MO,Aggravated Assault Reported by Population,1760.0,738.0
2021/01,Missouri,MO,Aggravated Assault Reported by Population,1824.0,732.0
2021/02,Missouri,MO,Aggravated Assault Reported by Population,1473.0,657.0
2021/03,Missouri,MO,Aggravated Assault Reported by Population,1863.0,789.0
2021/04,Missouri,MO,Aggravated Assault Reported by Population,2122.0,870.0
2021/05,Missouri,MO,Aggravated Assault Reported by Population,2278.0,913.0
2021/06,Missouri,MO,Aggravated Assault Reported by Population,2261.0,886.0
2021/07,Missouri,MO,Aggravated Assault Reported by Population,2288.0,898.0
2021/08,Missouri,MO,Aggravated Assault Reported by Population,2164.0,840.0
2021/09,Missouri,MO,Aggravated Assault Reported by Population,2018.0,812.0
2021/10,Missouri,MO,Aggravated Assault Reported by Population,2029.0,766.0
2021/11,Missouri,MO,Aggravated Assault Reported by Population,1826.0,742.0
2021/12,Missouri,MO,Aggravated Assault Reported by Population,1887.0,781.0
2022/01,Missouri,MO,Aggravated Assault Reported by Population,1753.0,716.0
2022/02,Missouri,MO,Aggravated Assault Reported by Population,1411.0,569.0
2022/03,Missouri,MO,Aggravated Assault Reported by Population,1946.0,837.0
2022/04,Missouri,MO,Aggravated Assault Reported by Population,2009.0,764.0
2022/05,Missouri,MO,Aggravated Assault Reported by Population,2127.0,864.0
2022/06,Missouri,MO,Aggravated Assault Reported by Population,2017.0,768.0
2022/07,Missouri,MO,Aggravated Assault Reported by Population,2318.0,759.0
2022/08,Missouri,MO,Aggravated Assault Reported by Population,2064.0,794.0
2022/09,Missouri,MO,Aggravated Assault Reported by Population,1941.0,755.0
2022/10,Missouri,MO,Aggravated Assault Reported by Population,1991.0,733.0
2022/11,Missouri,MO,Aggravated Assault Reported by Population,1673.0,700.0
2022/12,Missouri,MO,Aggravated Assault Reported by Population,1746.0,713.0
2023/01,Missouri,MO,Aggravated Assault Reported by Population,1658.0,704.0
2023/02,Missouri,MO,Aggravated Assault Reported by Population,1452.0,658.0
2023/03,Missouri,MO,Aggravated Assault Reported by Population,1704.0,760.0
2023/04,Missouri,MO,Aggravated Assault Reported by Population,1959.0,809.0
2023/05,Missouri,MO,Aggravated Assault Reported by Population,2003.0,903.0
2023/06,Missouri,MO,Aggravated Assault Reported by Population,2003.0,808.0
2023/07,Missouri,MO,Aggravated Assault Reported by Population,2148.0,818.0
2023/08,Missouri,MO,Aggravated Assault Reported by Population,1970.0,780.0
2023/09,Missouri,MO,Aggravated Assault Reported by Population,1729.0,712.0
2023/10,Missouri,MO,Aggravated Assault Reported by Population,1884.0,779.0
2023/11,Missouri,MO,Aggravated Assault Reported by Population,1602.0,736.0
2023/12,Missouri,MO,Aggravated Assault Reported by Population,1670.0,656.0
2024/01,Missouri,MO,Aggravated Assault Reported by Population,1542.0,702.0
2024/02,Missouri,MO,Aggravated Assault Reported by Population,1595.0,693.0
2024/03,Missouri,MO,Aggravated Assault Reported by Population,1736.0,778.0
2024/04,Missouri,MO,Aggravated Assault Reported by Population,1793.0,741.0
2024/05,Missouri,MO,Aggravated Assault Reported by Population,2095.0,844.0
2024/06,Missouri,MO,Aggravated Assault Reported by Population,1990.0,773.0
2024/07,Missouri,MO,Aggravated Assault Reported by Population,2159.0,880.0
2024/08,Missouri,MO,Aggravated Assault Reported by Population,2028.0,802.0
2024/09,Missouri,MO,Aggravated Assault Reported by Population,2105.0,802.0
2024/10,Missouri,MO,Aggravated Assault Reported by Population,1829.0,744.0
2024/11,Missouri,MO,Aggravated Assault Reported by Population,1637.0,697.0
2024/12,Missouri,MO,Aggravated Assault Reported by Population,1661.0,758.0
2025/01,Missouri,MO,Aggravated Assault Reported by Population,1293.0,612.0
2025/02,Missouri,MO,Aggravated Assault Reported by Population,1158.0,604.0
2025/03,Missouri,MO,Aggravated Assault Reported by Population,1674.0,771.0
2025/04,Missouri,MO,Aggravated Assault Reported by Population,1801.0,758.0
2025/05,Missouri,MO,Aggravated Assault Reported by Population,1925.0,793.0
2025/06,Missouri,MO,Aggravated Assault Reported by Population,1815.0,746.0
2025/07,Missouri,MO,Aggravated Assault Reported by Population,1719.0,758.0
2025/08,Missouri,MO,Aggravated Assault Reported by Population,1376.0,572.0
2025/09,Missouri,MO,Aggravated Assault Reported by Population,93.0,53.0
2025/10,Missouri,MO,Aggravated Assault Reported by Population,,
2015/10,New Hampshire,NH,Aggravated Assault Reported by Population,131.0,76.0
2015/11,New Hampshire,NH,Aggravated Assault Reported by Population,129.0,87.0
2015/12,New Hampshire,NH,Aggravated Assault Reported by Population,125.0,71.0
2016/01,New Hampshire,NH,Aggravated Assault Reported by Population,108.0,67.0
2016/02,New Hampshire,NH,Aggravated Assault Reported by Population,76.0,53.0
2016/03,New Hampshire,NH,Aggravated Assault Reported by Population,117.0,73.0
2016/04,New Hampshire,NH,Aggravated Assault Reported by Population,128.0,82.0
2016/05,New Hampshire,NH,Aggravated Assault Reported by Population,156.0,76.0
2016/06,New Hampshire,NH,Aggravated Assault Reported by Population,128.0,75.0
2016/07,New Hampshire,NH,Aggravated Assault Reported by Population,171.0,106.0
2016/08,New Hampshire,NH,Aggravated Assault Reported by Population,143.0,84.0
2016/09,New Hampshire,NH,Aggravated Assault Reported by Population,132.0,82.0
2016/10,New Hampshire,NH,Aggravated Assault Reported by Population,135.0,77.0
2016/11,New Hampshire,NH,Aggravated Assault Reported by Population,125.0,85.0
2016/12,New Hampshire,NH,Aggravated Assault Reported by Population,131.0,61.0
2017/01,New Hampshire,NH,Aggravated Assault Reported by Population,105.0,65.0
2017/02,New Hampshire,NH,Aggravated Assault Reported by Population,95.0,74.0
2017/03,New Hampshire,NH,Aggravated Assault Reported by Population,117.0,71.0
2017/04,New Hampshire,NH,Aggravated Assault Reported by Population,126.0,67.0
2017/05,New Hampshire,NH,Aggravated Assault Reported by Population,122.0,91.0
2017/06,New Hampshire,NH,Aggravated Assault Reported by Population,133.0,83.0
2017/07,New Hampshire,NH,Aggravated Assault Reported by Population,161.0,94.0
2017/08,New Hampshire,NH,Aggravated Assault Reported by Population,171.0,119.0
2017/09,New Hampshire,NH,Aggravated Assault Reported by Population,147.0,81.0
2017/10,New Hampshire,NH,Aggravated Assault Reported by Population,137.0,73.0
2017/11,New Hampshire,NH,Aggravated Assault Reported by Population,114.0,74.0
2017/12,New Hampshire,NH,Aggravated Assault Reported by Population,117.0,76.0
2018/01,New Hampshire,NH,Aggravated Assault Reported by Population,98.0,73.0
2018/02,New Hampshire,NH,Aggravated Assault Reported by Population,112.0,73.0
2018/03,New Hampshire,NH,Aggravated Assault Reported by Population,132.0,98.0
2018/04,New Hampshire,NH,Aggravated Assault Reported by Population,129.0,77.0
2018/05,New Hampshire,NH,Aggravated Assault Reported by Population,146.0,66.0
2018/06,New Hampshire,NH,Aggravated Assault Reported by Population,131.0,84.0
2018/07,New Hampshire,NH,Aggravated Assault Reported by Population,131.0,99.0
2018/08,New Hampshire,NH,Aggravated Assault Reported by Population,118.0,84.0
2018/09,New Hampshire,NH,Aggravated Assault Reported by Population,128.0,70.0
2018/10,New Hampshire,NH,Aggravated Assault Reported by Population,121.0,74.0
2018/11,New Hampshire,NH,Aggravated Assault Reported by Population,86.0,52.0
2018/12,New Hampshire,NH,Aggravated Assault Reported by Population,96.0,53.0
2019/01,New Hampshire,NH,Aggravated Assault Reported by Population,72.0,50.0
2019/02,New Hampshire,NH,Aggravated Assault Reported by Population,67.0,32.0
2019/03,New Hampshire,NH,Aggravated Assault Reported by Population,98.0,57.0
2019/04,New Hampshire,NH,Aggravated Assault Reported by Population,83.0,46.0
2019/05,New Hampshire,NH,Aggravated Assault Reported by Population,103.0,58.0
2019/06,New Hampshire,NH,Aggravated Assault Reported by Population,109.0,68.0
2019/07,New Hampshire,NH,Aggravated Assault Reported by Population,108.0,65.0
2019/08,New Hampshire,NH,Aggravated Assault Reported by Population,105.0,66.0
2019/09,New Hampshire,NH,Aggravated Assault Reported by Population,104.0,56.0
2019/10,New Hampshire,NH,Aggravated Assault Reported by Population,92.0,56.0
2019/11,New Hampshire,NH,Aggravated Assault Reported by Population,86.0,43.0
2019/12,New Hampshire,NH,Aggravated Assault Reported by Population,88.0,57.0
2020/01,New Hampshire,NH,Aggravated Assault Reported by Population,69.0,38.0
2020/02,New Hampshire,NH,Aggravated Assault Reported by Population,86.0,44.0
2020/03,New Hampshire,NH,Aggravated Assault Reported by Population,82.0,59.0
2020/04,New Hampshire,NH,Aggravated Assault Reported by Population,70.0,42.0
2020/05,New Hampshire,NH,Aggravated Assault Reported by Population,90.0,48.0
2020/06,New Hampshire,NH,Aggravated Assault Reported by Population,125.0,69.0
2020/07,New Hampshire,NH,Aggravated Assault Reported by Population,114.0,71.0
2020/08,New Hampshire,NH,Aggravated Assault Reported by Population,118.0,69.0
2020/09,New Hampshire,NH,Aggravated Assault Reported by Population,104.0,65.0
2020/10,New Hampshire,NH,Aggravated Assault Reported by Population,91.0,50.0
2020/11,New Hampshire,NH,Aggravated Assault Reported by Population,88.0,67.0
2020/12,New Hampshire,NH,Aggravated Assault Reported by Population,63.0,50.0
2021/01,New Hampshire,NH,Aggravated Assault Reported by Population,57.0,32.0
2021/02,New Hampshire,NH,Aggravated Assault Reported by Population,73.0,48.0
2021/03,New Hampshire,NH,Aggravated Assault Reported by Population,78.0,55.0
2021/04,New Hampshire,NH,Aggravated Assault Reported by Population,79.0,52.0
2021/05,New Hampshire,NH,Aggravated Assault Reported by Population,64.0,41.0
2021/06,New Hampshire,NH,Aggravated Assault Reported by Population,87.0,59.0
2021/07,New Hampshire,NH,Aggravated Assault Reported by Population,72.0,44.0
2021/08,New Hampshire,NH,Aggravated Assault Reported by Population,72.0,42.0
2021/09,New Hampshire,NH,Aggravated Assault Reported by Population,91.0,51.0
2021/10,New Hampshire,NH,Aggravated Assault Reported by Population,77.0,36.0
2021/11,New Hampshire,NH,Aggravated Assault Reported by Population,67.0,36.0
2021/12,New Hampshire,NH,Aggravated Assault Reported by Population,68.0,49.0
2022/01,New Hampshire,NH,Aggravated Assault Reported by Population,92.0,60.0
2022/02,New Hampshire,NH,Aggravated Assault Reported by Population,76.0,51.0
2022/03,New Hampshire,NH,Aggravated Assault Reported by Population,90.0,52.0
2022/04,New Hampshire,NH,Aggravated Assault Reported by Population,83.0,45.0
2022/05,New Hampshire,NH,Aggravated Assault Reported by Population,84.0,55.0
2022/06,New Hampshire,NH,Aggravated Assault Reported by Population,91.0,58.0
2022/07,New Hampshire,NH,Aggravated Assault Reported by Population,99.0,59.0
2022/08,New Hampshire,NH,Aggravated Assault Reported by Population,96.0,67.0
2022/09,New Hampshire,NH,Aggravated Assault Reported by Population,65.0,36.0
2022/10,New Hampshire,NH,Aggravated Assault Reported by Population,87.0,46.0
2022/11,New Hampshire,NH,Aggravated Assault Reported by Population,77.0,42.0
2022/12,New Hampshire,NH,Aggravated Assault Reported by Population,66.0,57.0
2023/01,New Hampshire,NH,Aggravated Assault Reported by Population,61.0,35.0
2023/02,New Hampshire,NH,Aggravated Assault Reported by Population,56.0,27.0
2023/03,New Hampshire,NH,Aggravated Assault Reported by Population,48.0,38.0
2023/04,New Hampshire,NH,Aggravated Assault Reported by Population,77.0,54.0
2023/05,New Hampshire,NH,Aggravated Assault Reported by Population,91.0,62.0
2023/06,New Hampshire,NH,Aggravated Assault Reported by Population,57.0,31.0
2023/07,New Hampshire,NH,Aggravated Assault Reported by Population,82.0,38.0
2023/08,New Hampshire,NH,Aggravated Assault Reported by Population,73.0,44.0
2023/09,New Hampshire,NH,Aggravated Assault Reported by Population,82.0,52.0
2023/10,New Hampshire,NH,Aggravated Assault Reported by Population,64.0,40.0
2023/11,New Hampshire,NH,Aggravated Assault Reported by Population,87.0,56.0
2023/12,New Hampshire,NH,Aggravated Assault Reported by Population,60.0,35.0
2024/01,New Hampshire,NH,Aggravated Assault Reported by Population,76.0,39.0
2024/02,New Hampshire,NH,Aggravated Assault Reported by Population,60.0,46.0
2024/03,New Hampshire,NH,Aggravated Assault Reported by Population,52.0,35.0
2024/04,New Hampshire,NH,Aggravated Assault Reported by Population,60.0,47.0
2024/05,New Hampshire,NH,Aggravated Assault Reported by Population,81.0,56.0
2024/06,New Hampshire,NH,Aggravated Assault Reported by Population,84.0,52.0
2024/07,New Hampshire,NH,Aggravated Assault Reported by Population,83.0,51.0
2024/08,New Hampshire,NH,Aggravated Assault Reported by Population,61.0,47.0
2024/09,New Hampshire,NH,Aggravated Assault Reported by Population,85.0,42.0
2024/10,New Hampshire,NH,Aggravated Assault Reported by Population,96.0,53.0
2024/11,New Hampshire,NH,Aggravated Assault Reported by Population,87.0,57.0
2024/12,New Hampshire,NH,Aggravated Assault Reported by Population,70.0,47.0
2025/01,New Hampshire,NH,Aggravated Assault Reported by Population,61.0,40.0
2025/02,New Hampshire,NH,Aggravated Assault Reported by Population,68.0,54.0
2025/03,New Hampshire,NH,Aggravated Assault Reported by Population,76.0,52.0
2025/04,New Hampshire,NH,Aggravated Assault Reported by Population,59.0,41.0
2025/05,New Hampshire,NH,Aggravated Assault Reported by Population,95.0,51.0
2025/06,New Hampshire,NH,Aggravated Assault Reported by Population,102.0,77.0
2025/07,New Hampshire,NH,Aggravated Assault Reported by Population,76.0,39.0
2025/08,New Hampshire,NH,Aggravated Assault Reported by Population,68.0,47.0
2025/09,New Hampshire,NH,Aggravated Assault Reported by Population,0.0,0.0
2025/10,New Hampshire,NH,Aggravated Assault Reported by Population,,
2015/10,Virginia,VA,Aggravated Assault Reported by Population,792.0,482.0
2015/11,Virginia,VA,Aggravated Assault Reported by Population,772.0,453.0
2015/12,Virginia,VA,Aggravated Assault Reported by Population,754.0,418.0
2016/01,Virginia,VA,Aggravated Assault Reported by Population,752.0,466.0
2016/02,Virginia,VA,Aggravated Assault Reported by Population,653.0,403.0
2016/03,Virginia,VA,Aggravated Assault Reported by Population,821.0,506.0
2016/04,Virginia,VA,Aggravated Assault Reported by Population,823.0,455.0
2016/05,Virginia,VA,Aggravated Assault Reported by Population,922.0,525.0
2016/06,Virginia,VA,Aggravated Assault Reported by Population,905.0,492.0
2016/07,Virginia,VA,Aggravated Assault Reported by Population,955.0,533.0
2016/08,Virginia,VA,Aggravated Assault Reported by Population,974.0,572.0
2016/09,Virginia,VA,Aggravated Assault Reported by Population,866.0,520.0
2016/10,Virginia,VA,Aggravated Assault Reported by Population,960.0,529.0
2016/11,Virginia,VA,Aggravated Assault Reported by Population,819.0,489.0
2016/12,Virginia,VA,Aggravated Assault Reported by Population,875.0,483.0
2017/01,Virginia,VA,Aggravated Assault Reported by Population,799.0,479.0
2017/02,Virginia,VA,Aggravated Assault Reported by Population,712.0,457.0
2017/03,Virginia,VA,Aggravated Assault Reported by Population,771.0,492.0
2017/04,Virginia,VA,Aggravated Assault Reported by Population,821.0,458.0
2017/05,Virginia,VA,Aggravated Assault Reported by Population,864.0,498.0
2017/06,Virginia,VA,Aggravated Assault Reported by Population,866.0,511.0
2017/07,Virginia,VA,Aggravated Assault Reported by Population,962.0,548.0
2017/08,Virginia,VA,Aggravated Assault Reported by Population,904.0,503.0
2017/09,Virginia,VA,Aggravated Assault Reported by Population,868.0,483.0
2017/10,Virginia,VA,Aggravated Assault Reported by Population,881.0,500.0
2017/11,Virginia,VA,Aggravated Assault Reported by Population,737.0,394.0
2017/12,Virginia,VA,Aggravated Assault Reported by Population,804.0,465.0
2018/01,Virginia,VA,Aggravated Assault Reported by Population,801.0,469.0
2018/02,Virginia,VA,Aggravated Assault Reported by Population,690.0,388.0
2018/03,Virginia,VA,Aggravated Assault Reported by Population,799.0,484.0
2018/04,Virginia,VA,Aggravated Assault Reported by Population,868.0,513.0
2018/05,Virginia,VA,Aggravated Assault Reported by Population,932.0,523.0
2018/06,Virginia,VA,Aggravated Assault Reported by Population,877.0,535.0
2018/07,Virginia,VA,Aggravated Assault Reported by Population,898.0,584.0
2018/08,Virginia,VA,Aggravated Assault Reported by Population,975.0,592.0
2018/09,Virginia,VA,Aggravated Assault Reported by Population,897.0,542.0
2018/10,Virginia,VA,Aggravated Assault Reported by Population,910.0,543.0
2018/11,Virginia,VA,Aggravated Assault Reported by Population,753.0,477.0
2018/12,Virginia,VA,Aggravated Assault Reported by Population,879.0,484.0
2019/01,Virginia,VA,Aggravated Assault Reported by Population,823.0,497.0
2019/02,Virginia,VA,Aggravated Assault Reported by Population,711.0,467.0
2019/03,Virginia,VA,Aggravated Assault Reported by Population,831.0,483.0
2019/04,Virginia,VA,Aggravated Assault Reported by Population,923.0,524.0
2019/05,Virginia,VA,Aggravated Assault Reported by Population,1074.0,581.0
2019/06,Virginia,VA,Aggravated Assault Reported by Population,936.0,534.0
2019/07,Virginia,VA,Aggravated Assault Reported by Population,998.0,551.0
2019/08,Virginia,VA,Aggravated Assault Reported by Population,1007.0,553.0
2019/09,Virginia,VA,Aggravated Assault Reported by Population,998.0,571.0
2019/10,Virginia,VA,Aggravated Assault Reported by Population,966.0,532.0
2019/11,Virginia,VA,Aggravated Assault Reported by Population,866.0,481.0
2019/12,Virginia,VA,Aggravated Assault Reported by Population,938.0,505.0
2020/01,Virginia,VA,Aggravated Assault Reported by Population,895.0,522.0
2020/02,Virginia,VA,Aggravated Assault Reported by Population,871.0,521.0
2020/03,Virginia,VA,Aggravated Assault Reported by Population,906.0,486.0
2020/04,Virginia,VA,Aggravated Assault Reported by Population,873.0,503.0
2020/05,Virginia,VA,Aggravated Assault Reported by Population,1081.0,611.0
2020/06,Virginia,VA,Aggravated Assault Reported by Population,1051.0,559.0
2020/07,Virginia,VA,Aggravated Assault Reported by Population,1146.0,620.0
2020/08,Virginia,VA,Aggravated Assault Reported by Population,1222.0,624.0
2020/09,Virginia,VA,Aggravated Assault Reported by Population,1093.0,616.0
2020/10,Virginia,VA,Aggravated Assault Reported by Population,1184.0,681.0
2020/11,Virginia,VA,Aggravated Assault Reported by Population,1032.0,565.0
2020/12,Virginia,VA,Aggravated Assault Reported by Population,1001.0,529.0
2021/01,Virginia,VA,Aggravated Assault Reported by Population,952.0,544.0
2021/02,Virginia,VA,Aggravated Assault Reported by Population,798.0,443.0
2021/03,Virginia,VA,Aggravated Assault Reported by Population,1042.0,536.0
2021/04,Virginia,VA,Aggravated Assault Reported by Population,1116.0,567.0
2021/05,Virginia,VA,Aggravated Assault Reported by Population,1264.0,638.0
2021/06,Virginia,VA,Aggravated Assault Reported by Population,1139.0,621.0
2021/07,Virginia,VA,Aggravated Assault Reported by Population,1133.0,598.0
2021/08,Virginia,VA,Aggravated Assault Reported by Population,1258.0,617.0
2021/09,Virginia,VA,Aggravated Assault Reported by Population,1119.0,513.0
2021/10,Virginia,VA,Aggravated Assault Reported by Population,1182.0,580.0
2021/11,Virginia,VA,Aggravated Assault Reported by Population,1035.0,529.0
2021/12,Virginia,VA,Aggravated Assault Reported by Population,1155.0,524.0
2022/01,Virginia,VA,Aggravated Assault Reported by Population,996.0,556.0
2022/02,Virginia,VA,Aggravated Assault Reported by Population,961.0,522.0
2022/03,Virginia,VA,Aggravated Assault Reported by Population,1105.0,621.0
2022/04,Virginia,VA,Aggravated Assault Reported by Population,1223.0,556.0
2022/05,Virginia,VA,Aggravated Assault Reported by Population,1319.0,677.0
2022/06,Virginia,VA,Aggravated Assault Reported by Population,1289.0,666.0
2022/07,Virginia,VA,Aggravated Assault Reported by Population,1327.0,687.0
2022/08,Virginia,VA,Aggravated Assault Reported by Population,1256.0,712.0
2022/09,Virginia,VA,Aggravated Assault Reported by Population,1190.0,608.0
2022/10,Virginia,VA,Aggravated Assault Reported by Population,1168.0,590.0
2022/11,Virginia,VA,Aggravated Assault Reported by Population,1037.0,602.0
2022/12,Virginia,VA,Aggravated Assault Reported by Population,1043.0,586.0
2023/01,Virginia,VA,Aggravated Assault Reported by Population,1149.0,611.0
2023/02,Virginia,VA,Aggravated Assault Reported by Population,1038.0,580.0
2023/03,Virginia,VA,Aggravated Assault Reported by Population,1173.0,695.0
2023/04,Virginia,VA,Aggravated Assault Reported by Population,1259.0,657.0
2023/05,Virginia,VA,Aggravated Assault Reported by Population,1333.0,718.0
2023/06,Virginia,VA,Aggravated Assault Reported by Population,1253.0,724.0
2023/07,Virginia,VA,Aggravated Assault Reported by Population,1365.0,780.0
2023/08,Virginia,VA,Aggravated Assault Reported by Population,1199.0,744.0
2023/09,Virginia,VA,Aggravated Assault Reported by Population,1180.0,689.0
2023/10,Virginia,VA,Aggravated Assault Reported by Population,1225.0,749.0
2023/11,Virginia,VA,Aggravated Assault Reported by Population,1117.0,642.0
2023/12,Virginia,VA,Aggravated Assault Reported by Population,1181.0,730.0
2024/01,Virginia,VA,Aggravated Assault Reported by Population,1077.0,685.0
2024/02,Virginia,VA,Aggravated Assault Reported by Population,956.0,608.0
2024/03,Virginia,VA,Aggravated Assault Reported by Population,1012.0,612.0
2024/04,Virginia,VA,Aggravated Assault Reported by Population,1178.0,697.0
2024/05,Virginia,VA,Aggravated Assault Reported by Population,1279.0,751.0
2024/06,Virginia,VA,Aggravated Assault Reported by Population,1330.0,726.0
2024/07,Virginia,VA,Aggravated Assault Reported by Population,1185.0,708.0
2024/08,Virginia,VA,Aggravated Assault Reported by Population,1120.0,689.0
2024/09,Virginia,VA,Aggravated Assault Reported by Population,1139.0,711.0
2024/10,Virginia,VA,Aggravated Assault Reported by Population,1154.0,713.0
2024/11,Virginia,VA,Aggravated Assault Reported by Population,1160.0,639.0
2024/12,Virginia,VA,Aggravated Assault Reported by Population,988.0,632.0
2025/01,Virginia,VA,Aggravated Assault Reported by Population,983.0,645.0
2025/02,Virginia,VA,Aggravated Assault Reported by Population,934.0,573.0
2025/03,Virginia,VA,Aggravated Assault Reported by Population,1126.0,703.0
2025/04,Virginia,VA,Aggravated Assault Reported by Population,1052.0,685.0
2025/05,Virginia,VA,Aggravated Assault Reported by Population,1269.0,734.0
2025/06,Virginia,VA,Aggravated Assault Reported by Population,1121.0,717.0
2025/07,Virginia,VA,Aggravated Assault Reported by Population,1239.0,750.0
2025/08,Virginia,VA,Aggravated Assault Reported by Population,1041.0,639.0
2025/09,Virginia,VA,Aggravated Assault Reported by Population,56.0,38.0
2025/10,Virginia,VA,Aggravated Assault Reported by Population,,
2015/10,Florida,FL,Aggravated Assault Reported by Population,5.0,2.0
2015/11,Florida,FL,Aggravated Assault Reported by Population,1.0,0.0
2015/12,Florida,FL,Aggravated Assault Reported by Population,54469.0,30779.0
2016/01,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
2016/02,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
2016/03,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
2016/04,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
2016/05,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
2016/06,Florida,FL,Aggravated Assault Reported by Population,8318.0,4223.0
2016/07,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
2016/08,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
2016/09,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
2016/10,Florida,FL,Aggravated Assault Reported by Population,0.0,0.0
