location,date,frequency,state,state_code,crime_type,crime_count,Clearances,year,population,total_population_at_date,total_crime_count_at_date,crime_rate,crime_count_standardized,crime_count_weighted,crime_relative_intensity,crime_rate_normalized,crime_count_normalized
AK,2024/11,0,Alaska,AK,Aggravated Assault Reported by Population,287.0,178.0,2024.0,740.133,340110.988,125239.0,38776.81443740516,-0.2343052927812522,0.6245554495287285,1.0530602024767473,0.1382501130281294,0.0022521815556532
AK,2024/12,1,Alaska,AK,Aggravated Assault Reported by Population,289.0,171.0,2024.0,740.133,340110.988,139446.0,39047.03614080172,-0.2340918076806505,0.6289077523129009,0.9523633550133944,0.1392135284499282,0.0022678762006403
AK,2025/01,0,Alaska,AK,Aggravated Assault Reported by Population,256.0,150.0,2025.0,740.133,340110.988,108808.0,34588.378034758614,-0.2376143118405801,0.5570947563740575,1.0811601561208046,0.1233171739902478,0.0020089145583526
AK,2025/02,0,Alaska,AK,Aggravated Assault Reported by Population,265.0,183.0,2025.0,740.133,340110.988,99119.0,35804.3757000431,-0.236653628887872,0.5766801189028329,1.228569859871957,0.1276525433883425,0.0020795404607947
AK,2025/03,0,Alaska,AK,Aggravated Assault Reported by Population,307.0,194.0,2025.0,740.133,340110.988,119584.0,41479.03147137068,-0.2321704417752343,0.6680784773704518,1.1797125347045574,0.1478842672461175,0.0024091280055245
AK,2025/04,0,Alaska,AK,Aggravated Assault Reported by Population,302.0,191.0,2025.0,740.133,340110.988,120854.0,40803.477212879305,-0.2327041545267388,0.6571977204100209,1.1483038168954165,0.1454757286916205,0.0023698913930566
AK,2025/05,0,Alaska,AK,Aggravated Assault Reported by Population,319.0,203.0,2025.0,740.133,340110.988,127470.0,43100.36169175,-0.2308895311716235,0.6941922940754857,1.149988750148148,0.1536647597769104,0.0025032958754472
AK,2025/06,0,Alaska,AK,Aggravated Assault Reported by Population,157.0,87.0,2025.0,740.133,340110.988,121779.0,21212.40371662931,-0.2481818243203691,0.3416557685575274,0.5924315018121077,0.0756281106112067,0.0012320296314897
AK,2025/07,0,Alaska,AK,Aggravated Assault Reported by Population,173.0,117.0,2025.0,740.133,340110.988,119345.0,23374.177343801723,-0.2464739435155547,0.376474190830906,0.6661204533149792,0.0833354339855972,0.0013575867913867
AK,2025/08,1,Alaska,AK,Aggravated Assault Reported by Population,44.0,36.0,2025.0,740.133,340110.988,96236.0,5944.877474724137,-0.2602437325043706,0.0957506612517911,0.2100999783311205,0.0211951392795738,0.0003452821897168
AK,2025/09,0,Alaska,AK,Aggravated Assault Reported by Population,9.0,10.0,2025.0,740.133,340110.988,59498.0,1215.9976652844823,-0.263979721764902,0.0195853625287754,0.0695105999101816,0.0043353693980946,7.062590244208677e-05
AK,2025/10,0,,,,,,,,,,,,,,,
AK,2025/11,0,,,,,,,,,,,,,,,
AZ,2021/11,0,Arizona,AZ,Aggravated Assault Reported by Population,781.0,401.0,2021.0,7274.078,332099.76,103323.0,10736.755916007498,-0.1815744729326084,17.106471013408743,0.3450997418662515,0.0382795167803062,0.0061287588674744
AZ,2021/12,3,Arizona,AZ,Aggravated Assault Reported by Population,779.0,384.0,2021.0,7274.078,332099.76,106837.0,10709.261022496596,-0.1817879580332102,17.062664429507567,0.3328943170763382,0.0381814898487306,0.0061130642224872
AZ,2022/01,3,Arizona,AZ,Aggravated Assault Reported by Population,1627.0,684.0,2022.0,7377.566,334017.321,128093.0,22053.343880624045,-0.0912702753780484,35.93615997536846,0.5750664628120028,0.0786262958517668,0.0127675936970305
AZ,2022/02,4,Arizona,AZ,Aggravated Assault Reported by Population,1644.0,658.0,2022.0,7377.566,334017.321,120218.0,22283.772181773773,-0.0894556520229331,36.31164535925369,0.6191390545451098,0.079447836742658,0.0129009981794211
AZ,2022/03,2,Arizona,AZ,Aggravated Assault Reported by Population,1920.0,796.0,2022.0,7377.566,334017.321,144091.0,26024.843423969367,-0.0599947081398851,42.40776100350796,0.6032818482707952,0.0927857947359509,0.0150668591876451
AZ,2022/04,5,Arizona,AZ,Aggravated Assault Reported by Population,2004.0,822.0,2022.0,7377.566,334017.321,146547.0,27163.43032376803,-0.0510283339146097,44.26310054741143,0.6191226177209469,0.0968451732556488,0.0157260342771046
AZ,2022/05,2,Arizona,AZ,Aggravated Assault Reported by Population,2283.0,912.0,2022.0,7377.566,334017.321,161556.0,30945.16538381358,-0.021247162380659,50.42547831823368,0.6397918517048793,0.1103281090532167,0.0179154372528093
AZ,2022/06,6,Arizona,AZ,Aggravated Assault Reported by Population,2168.0,876.0,2022.0,7377.566,334017.321,155272.0,29386.385699565413,-0.0335225556652623,47.88543013312773,0.6321527271653326,0.1047706265560113,0.0170129951660493
AZ,2022/07,2,Arizona,AZ,Aggravated Assault Reported by Population,2161.0,924.0,2022.0,7377.566,334017.321,162912.0,29291.503457915525,-0.0342697535173686,47.73081850446911,0.6005616230280876,0.1044323450127031,0.0169580639085943
AZ,2022/08,1,Arizona,AZ,Aggravated Assault Reported by Population,2155.0,963.0,2022.0,7377.566,334017.321,154729.0,29210.175822215624,-0.034910208819174,47.59829425133315,0.6305672934017175,0.1041423894041533,0.0169109799736329
AZ,2022/09,1,Arizona,AZ,Aggravated Assault Reported by Population,2067.0,894.0,2022.0,7377.566,334017.321,149417.0,28017.370498617023,-0.0443035532456531,45.65460520533903,0.6263200998154488,0.0998897071454222,0.0162204155941992
AZ,2022/10,2,Arizona,AZ,Aggravated Assault Reported by Population,1953.0,787.0,2022.0,7377.566,334017.321,148071.0,26472.145420318844,-0.0564722039799555,43.13664439575575,0.5971564380883035,0.0943805505829751,0.0153258208299328
AZ,2022/11,4,Arizona,AZ,Aggravated Assault Reported by Population,1633.0,670.0,2022.0,7377.566,334017.321,130100.0,22134.671516323942,-0.090629820076243,36.06868422850442,0.5682831422826697,0.0789162514603166,0.0128146776319919
AZ,2022/12,1,Arizona,AZ,Aggravated Assault Reported by Population,1894.0,772.0,2022.0,7377.566,334017.321,171037.0,25672.423669269785,-0.0627700144477085,41.833489239918784,0.5013555065621171,0.091529320432235,0.0148628288028124
AZ,2023/01,0,Arizona,AZ,Aggravated Assault Reported by Population,2050.0,864.0,2023.0,7473.027,336806.231,140670.0,27431.98974123872,-0.0461181766007683,45.48521951186824,0.6568042278792406,0.0978026621664521,0.0160870111118086
AZ,2023/02,0,Arizona,AZ,Aggravated Assault Reported by Population,1799.0,742.0,2023.0,7473.027,336806.231,120495.0,24073.24368023828,-0.0729105567262938,39.916053610659006,0.672892524327617,0.0858277996280231,0.0141173331659237
AZ,2023/03,1,Arizona,AZ,Aggravated Assault Reported by Population,1955.0,809.0,2023.0,7473.027,336806.231,137642.0,26160.751192254487,-0.0562587188793537,43.3773678759524,0.6401464675892525,0.0932703436758116,0.0153415154749199
AZ,2023/04,0,Arizona,AZ,Aggravated Assault Reported by Population,2118.0,865.0,2023.0,7473.027,336806.231,145845.0,28341.928913143227,-0.0388596831803072,46.99399752494484,0.6545125480136924,0.1010468480334368,0.016620629041371
AZ,2023/05,1,Arizona,AZ,Aggravated Assault Reported by Population,2153.0,915.0,2023.0,7473.027,336806.231,158604.0,28810.27995750584,-0.0351236939197758,47.77057444344016,0.6118056169164953,0.1027166495826202,0.0168952853286458
AZ,2023/06,0,Arizona,AZ,Aggravated Assault Reported by Population,2063.0,900.0,2023.0,7473.027,336806.231,151464.0,27605.948700573408,-0.0447305234468567,45.77366236730936,0.6138657063737571,0.0984228741704345,0.0161890263042249
AZ,2023/07,1,Arizona,AZ,Aggravated Assault Reported by Population,1863.0,759.0,2023.0,7473.027,336806.231,160102.0,24929.65701850134,-0.0660790335070363,41.33607997590757,0.524444655314995,0.088881151032244,0.0146195618055119
AZ,2023/08,0,Arizona,AZ,Aggravated Assault Reported by Population,1981.0,842.0,2023.0,7473.027,336806.231,151574.0,26508.66911092386,-0.0534834125715303,43.95425358683463,0.5890380231488505,0.0945107676837764,0.0155455458597526
AZ,2023/09,1,Arizona,AZ,Aggravated Assault Reported by Population,1779.0,815.0,2023.0,7473.027,336806.231,146303.0,23805.61451203107,-0.0750454077323118,39.47229537151882,0.5480324600613855,0.084873627314204,0.0139603867160524
AZ,2023/10,0,Arizona,AZ,Aggravated Assault Reported by Population,1753.0,759.0,2023.0,7473.027,336806.231,152473.0,23457.6965933617,-0.0778207140401352,38.8954096606366,0.5181703237656301,0.0836332033062393,0.0137563563312197
AZ,2023/11,2,Arizona,AZ,Aggravated Assault Reported by Population,1855.0,761.0,2023.0,7473.027,336806.231,130054.0,24822.60535121845,-0.0669329739094435,41.15857668025151,0.6428412929970871,0.0884994821067164,0.0145567832255634
